Locality_ID,Geosite_Name,Dist_to_Highway_m,Draft_Accessibility_Class,Expert_Label_Raw,Expert_Class,Expert_Reasoning,Slope_deg,Confidence
loc_00147,The travertine terraces of Bel Younech,10.058941131258765,Easy,Moderate,,"UNBLANKED 2026-08-14: prior value was a legacy GIS-distance-formula label with no real citation (audit found 30.8% predictive accuracy vs 57%+ elsewhere, worst-performing label tier project-wide). Removed rather than kept, pending real-source relabeling.",16.472502902503024,
loc_00142,Mujer Muerta,17.68555913895352,Easy,Moderate,,"UNBLANKED 2026-08-14: prior value was a legacy GIS-distance-formula label with no real citation (audit found 30.8% predictive accuracy vs 57%+ elsewhere, worst-performing label tier project-wide). Removed rather than kept, pending real-source relabeling.",22.03316693570002,
loc_00141,Abdessamad cave,20.929546785928977,Easy,Moderate,,"UNBLANKED 2026-08-14: prior value was a legacy GIS-distance-formula label with no real citation (audit found 30.8% predictive accuracy vs 57%+ elsewhere, worst-performing label tier project-wide). Removed rather than kept, pending real-source relabeling.",14.933764621665375,
loc_00140,Jbel Younech Ruiniform aspects,20.929546785928977,Easy,Moderate to Difficult,,"UNBLANKED 2026-08-14: prior value was a legacy GIS-distance-formula label with no real citation (audit found 30.8% predictive accuracy vs 57%+ elsewhere, worst-performing label tier project-wide). Removed rather than kept, pending real-source relabeling.",14.933764621665375,
loc_00145,Jbel Chendir,32.12952198046715,Easy,Easy to Moderate,,"UNBLANKED 2026-08-14: prior value was a legacy GIS-distance-formula label with no real citation (audit found 30.8% predictive accuracy vs 57%+ elsewhere, worst-performing label tier project-wide). Removed rather than kept, pending real-source relabeling.",25.78052069182892,
loc_00146,Socio-cultural complex,36.069180953112365,Easy,Easy,,"UNBLANKED 2026-08-14: prior value was a legacy GIS-distance-formula label with no real citation (audit found 30.8% predictive accuracy vs 57%+ elsewhere, worst-performing label tier project-wide). Removed rather than kept, pending real-source relabeling.",30.961155908301706,
loc_00179,Akchour landslide,71.55553178626235,Easy,Moderate,Easy,"Aoulad-Sidi-Mhend et al. 2019 (Geoheritage 11:1005-1025, full PDF obtained), Table 4: site 17/41 is one of the 29 sites explicitly stated to be 'located along... existing main communication roads... allowing the accessibility' -- part of the Rueda-Akchour Georoute (site 17/41).",9.21536701007198,Medium
loc_00173,Stehat gneiss,105.24776219071666,Moderate,Easy,Easy,"Aoulad-Sidi-Mhend et al. 2019 (Geoheritage 11:1005-1025, full PDF obtained), Table 4: site 11/41 is one of the 29 sites explicitly stated to be 'located along... existing main communication roads... allowing the accessibility' -- part of the Oued Laou Valley-Ghomara Coast Georoute (site 11/41).",4.675145506422752,Medium
loc_00176,BeniBousera Peridotitic Complex,140.82363285227868,Easy,Moderate,Easy,"PRIMARY SOURCE REPLACES LEGACY FORMULA LABEL: Aoulad-Sidi-Mhend et al. 2019, site 14 (Beni Bousera Peridotitic Complex). Text: 'The best fresh peridotites are easily accessible from the main road (N16 national road).' Explicit, direct statement.",26.896264014242817,High
loc_00166,Talâat Adrhosse Klippe,184.97380156614744,Easy,Moderate,Easy,"PRIMARY SOURCE REPLACES LEGACY FORMULA LABEL: Aoulad-Sidi-Mhend et al. 2019 (Geoheritage 11:1005-1025, full text obtained), Table de l'Oued Laou Valley-Ghomara Coast Georoute, site 4. Text: 'It is visible from the provincial road P4105 at the entrance of Talambote Village.' Accessibility criterion scored 4/4 (max) in the paper's own Brilha-2016-based quantitative assessment.",21.02755319906341,High
