flag,Locality_ID,Geosite_Name,Region,Confidence,Expert_Merged,difficulty_score,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m
Easy_but_looks_hard,loc_00132,Foum Zguid mesa,Souss-Massa,Medium,Easy,11.075640254460497,16007.485861134071,29.37609952730305,36.243154982889976,694.3156127929688,0.1,107082.71865803836
Easy_but_looks_hard,loc_00037,Taghia N’Ait Hammou Gorges,Drâa-Tafilalet,Low,Easy,8.66099765706478,25.37224345421478,49.67938960083032,78.03858228951447,1871.8389892578125,0.15,36840.63211021445
Easy_but_looks_hard,loc_00128,Tamzrart gorge,Souss-Massa,Medium,Easy,6.365035007241493,5223.26419041525,35.772209616724425,34.93805385621126,629.822509765625,0.15,68203.83941946916
Easy_but_looks_hard,loc_00098,Tamzrart Petrified waterfall,Souss-Massa,Medium,Easy,6.230634531342431,3458.1158246885184,29.39721078804148,46.131295196281,736.9594116210938,0.1,70453.99154376212
Easy_but_looks_hard,loc_00515,Sebkha Tah,Laayoune-Sakia El Hamra,Medium,Easy,5.769757266803525,20059.152328825243,0.2510477742756943,0.0744766235351562,-58.47246170043945,0.1,81657.32736548621
Easy_but_looks_hard,loc_00115,Draa double winged eye,Souss-Massa,Medium,Easy,5.512702572981157,11284.951948348566,11.66284548644682,14.350940546713584,785.2830200195312,0.1,99987.6512601737
Easy_but_looks_hard,loc_00020,Todgha Gorges,Drâa-Tafilalet,High,Easy,5.367190357291658,46.44935349832321,36.74385944178508,64.64197382651085,1482.126953125,0.15,9012.222275363476
Easy_but_looks_hard,loc_00435,Petrified wood intruded by iron deposits,Tanger-Tétouan-Al Hoceima,Medium,Easy,5.232680580768795,8150.119612599887,32.63461603844383,21.8155859375,883.7911987304688,0.35,46014.54791226941
Easy_but_looks_hard,loc_00360,Calcite quarry,Fés-Meknés,Medium,Easy,3.9498592014928033,709.031986219741,26.33389167528007,34.57670858083678,1747.4276123046875,0.1,72077.6130346225
Easy_but_looks_hard,loc_01019,Zaouiat Ifrane,Fés-Meknés,High,Easy,3.873373060226154,408.8777707954455,39.11700309865727,36.209912109375,1314.4158935546875,0.15,32156.956499613625
Difficult_but_looks_easy,loc_00275,Phosphate de posit of Ganntour,Marrakech-Safi,Medium,Difficult,-3.1653366537974392,1124.075472779325,0.943489630906766,1.144283326204158,510.0801086425781,0.2,13233.390047459305
Difficult_but_looks_easy,loc_00985,Cascade des vierges,Fés-Meknés,High,Difficult,-3.0100104128972696,69.42840797821995,6.9322807255617445,5.565673828125,1633.7755126953125,0.55,451.9632140564705
Difficult_but_looks_easy,loc_01087,Kef Bou Hayati,Fés-Meknés,High,Difficult,-2.908714850153434,60.61259998822535,5.342724905676456,2.3879248046875,1382.8065185546875,0.55,17188.83881094489
Difficult_but_looks_easy,loc_01102,Kef Izoura,Fés-Meknés,High,Difficult,-2.908714850153434,60.61259998822535,5.342724905676456,2.3879248046875,1382.8065185546875,0.55,17188.83881094489
Difficult_but_looks_easy,loc_00269,Sidi Saïd Mâachou Basin,Grand Casablanca-Settat,Low,Difficult,-2.878505139447618,175.72560582061425,0.4881636700737152,0.603247524293001,208.83653259277344,0.2,35662.473821049214
Difficult_but_looks_easy,loc_01036,Tiguelmamine,Fés-Meknés,High,Difficult,-2.7444817922601112,1370.1809196254435,0.2913912234971635,0.091396484375,884.7761840820312,0.2,28339.808859089324
Difficult_but_looks_easy,loc_00960,Ain Mezdou,Fés-Meknés,High,Difficult,-2.6498768853591397,721.6685722227885,7.58503691949322,3.898359375,1226.644287109375,0.2,7117.173966208995
Difficult_but_looks_easy,loc_01098,Kef El Sao,Fés-Meknés,High,Difficult,-2.6479204842165167,775.224336264136,6.716723384551515,3.0173974609375,1510.1199951171875,0.55,11529.378289055374
Difficult_but_looks_easy,loc_00503,Caves of the cliffs of Timoulilte,Béni Mellal-Khénifra,Medium,Difficult,-2.628599879879382,697.7691464886241,5.866705243056005,2.62854248046875,821.6721801757812,0.1,16517.21582020234
Difficult_but_looks_easy,loc_00975,Ain Tifratine,Fés-Meknés,High,Difficult,-2.531576127238183,23.42365243766889,5.493951957575043,3.276484375,1951.2884521484373,0.2,26369.828016783405
